team_id,gameweek,fixture_date,fixtures_in_window,congestion_index,days_since_last,days_to_next,is_home,opponent,base_rotation_risk,turnaround_risk,dgw_risk,total_rotation_risk
11,7,2025-10-04 14:00:00+00:00,2,1.0,7.0,14,True,18,0.05,0.0,0.0,0.05
11,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,False,3,0.05,0.0,0.0,0.05
11,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,True,19,0.05,0.0,0.0,0.05
11,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,False,6,0.05,0.0,0.0,0.05
12,2,2025-08-25 19:00:00+00:00,2,1.0,,5,False,15,0.05,0.0,0.0,0.05
12,3,2025-08-31 15:30:00+00:00,2,1.0,5.0,13,True,1,0.05,0.1,0.0,0.15000000000000002
12,4,2025-09-14 13:00:00+00:00,2,1.0,13.0,5,False,3,0.05,0.0,0.0,0.05
12,5,2025-09-20 11:30:00+00:00,2,1.0,5.0,7,True,9,0.05,0.1,0.0,0.15000000000000002
12,6,2025-09-27 14:00:00+00:00,2,1.0,7.0,7,False,8,0.05,0.0,0.0,0.05
12,7,2025-10-04 14:00:00+00:00,2,1.0,7.0,14,False,7,0.05,0.0,0.0,0.05
12,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,True,14,0.05,0.0,0.0,0.05
12,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,False,5,0.05,0.0,0.0,0.05
12,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,True,2,0.05,0.0,0.0,0.05
12,11,2025-11-08 15:00:00+00:00,2,1.0,7.0,14,False,13,0.05,0.0,0.0,0.05
13,1,2025-08-16 16:30:00+00:00,2,1.0,,6,False,20,0.05,0.0,0.0,0.05
13,2,2025-08-23 11:30:00+00:00,2,1.0,6.0,8,True,18,0.05,0.0,0.0,0.05
13,3,2025-08-31 13:00:00+00:00,1,0.5,8.0,14,False,6,0.05,0.0,0.0,0.05
13,4,2025-09-14 15:30:00+00:00,2,1.0,14.0,7,True,14,0.05,0.0,0.0,0.05
13,5,2025-09-21 15:30:00+00:00,3,1.5,7.0,5,False,1,0.15,0.0,0.0,0.15
13,6,2025-09-27 14:00:00+00:00,3,1.5,5.0,7,True,3,0.15,0.1,0.0,0.25
13,7,2025-10-04 14:00:00+00:00,2,1.0,7.0,14,False,5,0.05,0.0,0.0,0.05
13,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,True,9,0.05,0.0,0.0,0.05
13,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,False,2,0.05,0.0,0.0,0.05
13,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,True,4,0.05,0.0,0.0,0.05
14,1,2025-08-17 15:30:00+00:00,2,1.0,,7,True,1,0.05,0.0,0.0,0.05
14,2,2025-08-24 15:30:00+00:00,3,1.5,7.0,5,False,10,0.15,0.0,0.0,0.15
14,3,2025-08-30 14:00:00+00:00,2,1.0,5.0,15,True,3,0.05,0.1,0.0,0.15000000000000002
14,4,2025-09-14 15:30:00+00:00,2,1.0,15.0,6,False,13,0.05,0.0,0.0,0.05
14,5,2025-09-20 16:30:00+00:00,3,1.5,6.0,6,True,7,0.15,0.0,0.0,0.15
14,6,2025-09-27 11:30:00+00:00,2,1.0,6.0,7,False,5,0.05,0.0,0.0,0.05
14,7,2025-10-04 14:00:00+00:00,1,0.5,7.0,14,True,17,0.05,0.0,0.0,0.05
14,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,False,12,0.05,0.0,0.0,0.05
14,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,True,6,0.05,0.0,0.0,0.05
14,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,False,16,0.05,0.0,0.0,0.05
15,1,2025-08-16 11:30:00+00:00,1,0.5,,9,False,2,0.05,0.0,0.0,0.05
15,2,2025-08-25 19:00:00+00:00,2,1.0,9.0,4,True,12,0.05,0.0,0.0,0.05
15,3,2025-08-30 16:30:00+00:00,2,1.0,4.0,13,False,11,0.05,0.1,0.0,0.15000000000000002
15,4,2025-09-13 14:00:00+00:00,2,1.0,13.0,7,True,20,0.05,0.0,0.0,0.05
15,5,2025-09-20 14:00:00+00:00,2,1.0,7.0,8,False,4,0.05,0.0,0.0,0.05
15,6,2025-09-28 15:30:00+00:00,2,1.0,8.0,5,True,1,0.05,0.0,0.0,0.05
15,7,2025-10-04 14:00:00+00:00,2,1.0,5.0,14,True,16,0.05,0.1,0.0,0.15000000000000002
15,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,False,6,0.05,0.0,0.0,0.05
15,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,True,10,0.05,0.0,0.0,0.05
15,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,False,19,0.05,0.0,0.0,0.05
16,1,2025-08-17 13:00:00+00:00,2,1.0,,7,True,5,0.05,0.0,0.0,0.05
16,2,2025-08-24 13:00:00+00:00,3,1.5,7.0,7,False,8,0.15,0.0,0.0,0.15
16,3,2025-08-31 13:00:00+00:00,2,1.0,7.0,12,True,19,0.05,0.0,0.0,0.05
16,4,2025-09-13 11:30:00+00:00,1,0.5,12.0,7,False,1,0.05,0.0,0.0,0.05
16,5,2025-09-20 14:00:00+00:00,1,0.5,7.0,7,False,3,0.05,0.0,0.0,0.05
16,6,2025-09-27 16:30:00+00:00,2,1.0,7.0,6,True,17,0.05,0.0,0.0,0.05
16,7,2025-10-04 14:00:00+00:00,2,1.0,6.0,14,False,15,0.05,0.0,0.0,0.05
16,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,True,7,0.05,0.0,0.0,0.05
16,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,False,4,0.05,0.0,0.0,0.05
16,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,True,14,0.05,0.0,0.0,0.05
17,1,2025-08-16 14:00:00+00:00,2,1.0,,7,True,19,0.05,0.0,0.0,0.05
